date,gamePk,status,result,model_prob,lab,pitcher_gap,kbb_diff,gb_pick,babip_pick,off_delta_diff,bullpen_gap
2026-07-09,824251,official_pick,W,0.8084,83,16,,,,,0
2026-07-09,823034,value_watch,W,0.6582,83,10,,,,,46
2026-07-09,822877,watchlist,W,0.6436,71,0,,,,,0
2026-07-09,823277,pass,W,0.5114,59,8,,,,,2
2026-07-09,824494,pass,W,0.6122,51,18,,,,,-12
2026-07-09,823846,pass,L,0.512,48,26,,,,,35
2026-07-09,823201,pass,W,0.5127,17,-11,,,,,-3
2026-07-10,824575,official_pick,W,0.7795,90,43,0.1465,0.3855,0.2976,0.078,11
2026-07-10,823685,official_pick,L,0.7488,88,35,0.0674,0.44,0.2515,0.108,-2
2026-07-10,823033,value_watch,L,0.6158,88,20,0.1187,0.503,0.3109,0.056,22
2026-07-10,824817,value_watch,W,0.6523,87,19,0.0238,0.4611,0.2906,-0.046,26
2026-07-10,824493,value_watch,L,0.6406,84,40,0.0283,0.4472,0.25,0.029,-28
2026-07-10,822955,value_watch,W,0.6664,79,19,-0.0316,0.3939,0.2707,0.109,-38
2026-07-10,823200,value_watch,L,0.6419,79,29,-0.0804,0.3876,0.2362,-0.08,-18
2026-07-10,823604,value_watch,W,0.6433,75,7,-0.0276,0.52,0.2739,-0.052,21
2026-07-10,824252,watchlist,W,0.6966,73,7,-0.002,0.3696,0.3267,-0.002,7
2026-07-10,822709,watchlist,L,0.557,70,-30,-0.0209,0.3,0.4444,0.27,47
2026-07-10,822878,pass,W,0.5894,55,4,-0.0524,0.3187,0.2479,0.073,-8
2026-07-10,823278,pass,W,0.5186,54,-27,-0.0732,0.4286,0.3333,-0.173,37
2026-07-10,823845,pass,L,0.6131,44,-14,-0.0679,0.5171,0.2957,0.185,-14
2026-07-11,823682,official_pick,W,0.786,91,45,0.1266,0.4021,0.2841,0.101,17
2026-07-11,823276,value_watch,L,0.6319,90,17,-0.0099,0.3691,0.2139,-0.16,38
2026-07-11,823356,value_watch,L,0.6879,89,18,0.0861,0.5,0.3017,-0.064,21
