date,gamePk,matchup,model_side,status,model_prob,market_prob,lab_score,best_price,result,final_score
2026-07-09,824251,Athletics @ Detroit Tigers,Detroit Tigers,official_pick,0.8084,0.5392,83,-123,W,1-4
2026-07-09,824494,Philadelphia Phillies @ Cincinnati Reds,Philadelphia Phillies,pass,0.6122,0.5964,51,-156,W,1-0
2026-07-09,823846,Seattle Mariners @ Miami Marlins,Seattle Mariners,pass,0.512,0.5365,48,-120,L,4-8
2026-07-09,823034,Milwaukee Brewers @ St. Louis Cardinals,Milwaukee Brewers,value_watch,0.6582,0.5536,83,-130,W,8-4
2026-07-09,822877,Los Angeles Angels @ Texas Rangers,Texas Rangers,watchlist,0.6436,0.5511,71,-130,W,6-7
2026-07-09,823277,Arizona Diamondbacks @ San Diego Padres,Arizona Diamondbacks,pass,0.5114,0.463,59,110,W,3-1
2026-07-09,823201,Colorado Rockies @ San Francisco Giants,San Francisco Giants,pass,0.5127,0.5454,17,-125,W,2-8
2026-07-10,824575,Athletics @ Chicago White Sox,Chicago White Sox,official_pick,0.7795,0.4891,90,-102,W,1-14
2026-07-10,823685,Los Angeles Angels @ Minnesota Twins,Minnesota Twins,official_pick,0.7488,0.573,88,-141,L,4-3
2026-07-10,823033,Atlanta Braves @ St. Louis Cardinals,Atlanta Braves,value_watch,0.6158,0.5202,88,-115,L,1-2
2026-07-10,824817,Kansas City Royals @ Baltimore Orioles,Baltimore Orioles,value_watch,0.6523,0.5817,87,-145,W,3-5
2026-07-10,824493,Chicago Cubs @ Cincinnati Reds,Chicago Cubs,value_watch,0.6406,0.5174,84,-112,L,0-4
2026-07-10,822955,Seattle Mariners @ Tampa Bay Rays,Tampa Bay Rays,value_watch,0.6664,0.5077,79,-105,W,2-7
2026-07-10,823200,Colorado Rockies @ San Francisco Giants,San Francisco Giants,value_watch,0.6419,0.577,79,-145,L,4-3
2026-07-10,823604,Boston Red Sox @ New York Mets,Boston Red Sox,value_watch,0.6433,0.4259,75,135,W,6-2
2026-07-10,824252,Philadelphia Phillies @ Detroit Tigers,Detroit Tigers,watchlist,0.6966,0.4473,73,120,W,2-10
2026-07-10,822709,New York Yankees @ Washington Nationals,Washington Nationals,watchlist,0.557,0.3662,70,167,L,5-3
2026-07-10,822878,Houston Astros @ Texas Rangers,Texas Rangers,pass,0.5894,0.5355,55,-122,W,3-7
2026-07-10,823278,Toronto Blue Jays @ San Diego Padres,Toronto Blue Jays,pass,0.5186,0.4728,54,106,W,5-3
2026-07-10,823845,Cleveland Guardians @ Miami Marlins,Miami Marlins,pass,0.6131,0.5729,44,-144,L,3-2
