date,market,matchup,pick,price_taken,result
2026-07-06,moneyline,"New York Yankees@Tampa Bay Rays","Tampa Bay Rays",-118,L
2026-07-06,total,"New York Yankees@Tampa Bay Rays","Under 8",-110,W
2026-07-06,moneyline,"Houston Astros@Washington Nationals","Washington Nationals",-118,W
2026-07-06,total,"Houston Astros@Washington Nationals","Over 9",100,W
2026-07-06,run_line,"Houston Astros@Washington Nationals","Washington Nationals +1.5",-196,W
2026-07-06,moneyline,"New York Mets@Atlanta Braves","Atlanta Braves",-119,L
2026-07-06,run_line,"New York Mets@Atlanta Braves","Atlanta Braves -1.5",163,L
2026-07-06,moneyline,"Milwaukee Brewers@St. Louis Cardinals","Milwaukee Brewers",-109,W
2026-07-06,run_line,"Milwaukee Brewers@St. Louis Cardinals","Milwaukee Brewers -1.5",145,L
2026-07-06,total,"Arizona Diamondbacks@San Diego Padres","Over 8.5",-103,L
2026-07-06,moneyline,"Toronto Blue Jays@San Francisco Giants","San Francisco Giants",-104,W
2026-07-06,total,"Toronto Blue Jays@San Francisco Giants","Over 7.5",-115,W
2026-07-06,moneyline,"Colorado Rockies@Los Angeles Dodgers","Los Angeles Dodgers",-250,W
2026-07-06,total,"Colorado Rockies@Los Angeles Dodgers","Over 9",-118,W
2026-07-06,run_line,"Colorado Rockies@Los Angeles Dodgers","Los Angeles Dodgers -1.5",-114,L
2026-07-06,moneyline,"New York Yankees@Tampa Bay Rays","Tampa Bay Rays",-118,L
2026-07-06,total,"New York Yankees@Tampa Bay Rays","Under 8",-110,W
2026-07-06,moneyline,"Houston Astros@Washington Nationals","Washington Nationals",-118,W
2026-07-06,total,"Houston Astros@Washington Nationals","Over 9",100,W
2026-07-06,run_line,"Houston Astros@Washington Nationals","Washington Nationals +1.5",-196,W
2026-07-06,moneyline,"New York Mets@Atlanta Braves","Atlanta Braves",-119,L
2026-07-06,run_line,"New York Mets@Atlanta Braves","Atlanta Braves -1.5",163,L
2026-07-06,moneyline,"Milwaukee Brewers@St. Louis Cardinals","Milwaukee Brewers",-109,W
2026-07-06,run_line,"Milwaukee Brewers@St. Louis Cardinals","Milwaukee Brewers -1.5",145,L
